AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Isaiah Jhaveri,23,M,A1
2,1,Samarth Varghese,36,M,A2
3,1,Aayush Som,26,M,A3
4,2,Priya Sharaf,44,F,A1
5,3,Wridesh Bhatt,23,M,A1
6,3,Lakshit Nair,31,M,A2
7,4,Ekaraj Bal,27,M,A1
8,4,Manbir Lad,18,M,A2
9,4,Samaksh Rama,35,M,A3
10,5,Praneel Tripathi,42,M,A1
11,5,Harinakshi Golla,32,F,A2
12,5,Chanakya Sinha,34,M,A3
13,6,Peter Kapoor,31,M,A1
14,6,Ucchal Narula,24,F,A2
15,6,Kalpit Menon,33,M,A3
16,6,Daniel Singhal,36,M,A4
17,7,Rayaan Wagle,41,M,A1
18,7,Samuel Bhagat,27,M,A2
19,8,Banjeet Sura,27,M,A1
20,9,Laksh Kadakia,35,M,A1
21,9,Fariq Suri,31,M,A2
22,9,Dhruv Saraf,41,M,A3
23,10,Rachit Atwal,47,M,A1
24,11,Ekaraj Bal,26,M,A1
25,11,Dalaja Rajagopal,39,F,A2
26,11,Fiyaz Bhattacharyya,33,M,A3
27,11,Manthan Mannan,25,M,A4
28,12,Girindra Gala,26,M,A1
29,12,Adya Kari,28,F,A2
30,13,Raghav Kumer,43,M,A1
31,14,David Krishnan,24,M,A1
32,14,Faraj Jha,27,M,A2
33,14,Matthew Salvi,23,M,A3
34,14,Krishna Devan,28,M,A4
35,15,Hardik Iyengar,38,M,A1
36,16,Anmol Taneja,33,M,A1
37,16,Wridesh Narayanan,30,M,A2
38,16,Aarav Arya,41,M,A3
39,16,Dayamai Tak,41,F,A4
40,17,Chandresh Ghosh,35,M,A1
41,17,Maanav Parsa,26,M,A2
42,18,Ekapad Garde,25,M,A1
43,19,Vedant Magar,37,M,A1
44,19,Ekapad Garde,25,M,A2
45,19,William Sama,47,M,A3
46,19,Daksh Deo,42,M,A4
47,20,Gautam Raghavan,21,M,A1
48,21,Azad Lal,33,M,A1
49,21,Abeer Vohra,44,M,A2
50,21,Omkaar Venkataraman,29,M,A3
51,21,Upma Kothari,21,F,A4
52,22,Farhan Tiwari,27,M,A1
53,22,Yug Gandhi,24,M,A2
54,22,Yatan Nagi,24,M,A3
55,23,Balveer Sharaf,19,M,A1
56,23,Udarsh Chakrabarti,20,M,A2
57,24,Charan Raval,33,M,A1
58,24,Andrew Acharya,34,M,A2
59,25,Isaac Sha,41,M,A1
60,26,Peter Manne,31,M,A1
61,26,Chatresh Bath,31,M,A2
62,26,Yatin Dey,42,M,A3
63,27,Dipta Ramaswamy,35,F,A1
64,28,Ekapad Garde,22,M,A1
65,28,Zaid Agrawal,38,M,A2
66,28,Tarak Subramanian,22,M,A3
67,29,Yashawini Rajagopalan,25,F,A1
68,29,Jeet Mahal,40,M,A2
69,29,Onveer Menon,34,M,A3
70,29,Ekalinga Devi,48,M,A4
71,30,Orinder Deo,26,M,A1
72,31,Udyati Arya,23,F,A1
73,32,Luke Krishna,27,M,A1
74,32,Azaan Merchant,33,M,A2
75,32,William Sama,47,M,A3
