IdentityID,CanonicalName,DOBApprox,LinkedAccusedIDs,ResolutionConfidence,ResolutionMethod
1,Ekaraj Bal,,"7,24",0.97,fuzzy_name_district
2,Krishna Devan,,"34,353,2350",0.86,fuzzy_name_district
3,Anmol Taneja,,"36,321,2147",0.85,fuzzy_name_district
4,Chandresh Ghosh,,"40,410,679,1074,6146,21517",0.94,fuzzy_name_district
5,Ekapad Garde,,"42,44,64,164,345,4516,6076,7533",0.9,fuzzy_name_district
6,William Sama,,"45,75,1130,3535,4589,16873,22672",0.86,fuzzy_name_district
7,Upma Kothari,,"51,277",0.87,fuzzy_name_district
8,Chatresh Bath,,"61,105,1139",0.91,fuzzy_name_district
9,Tarak Subramanian,,"66,309,2616,19860,19980",0.98,fuzzy_name_district
10,Dakshesh Raju,,"92,96,249,2239,6005,10589,12670,18667",0.92,fuzzy_name_district
11,Caleb Borah,,"99,103,4835,8719",0.9,fuzzy_name_district
12,Balhaar Parmar,,"102,731,737,903,3902",0.85,fuzzy_name_district
13,Vihaan Bora,,"109,2161",0.82,fuzzy_name_district
14,Vincent Thaker,,"120,399,474,1387,1556",0.98,fuzzy_name_district
15,Imaran Sura,,"122,652,1308,18599",0.87,fuzzy_name_district
16,Azad Lalla,,"123,3004,4289",0.92,fuzzy_name_district
17,Rishi Singh,,"124,184,568,14417,14676,24077",0.97,fuzzy_name_district
18,Bakhshi Karpe,,"138,6668,8303",0.92,fuzzy_name_district
19,Jyoti Subramaniam,,"142,1178",0.9,fuzzy_name_district
20,Ekalinga Kumar,,"144,2803",0.88,fuzzy_name_district
21,Girindra Ahluwalia,,"145,1671,7860,9156",0.92,fuzzy_name_district
22,Qadim Majumdar,,"148,947,12247,13537",0.86,fuzzy_name_district
23,Gunbir Sha,,"165,937,1707,7544,15569",0.88,fuzzy_name_district
24,Imaran Karpe,,"170,256",0.88,fuzzy_name_district
25,Harish Keer,,"174,461,529,8154,14035",0.86,fuzzy_name_district
26,Quincy Murty,,"177,727,1100,2768,12254,22209",0.82,fuzzy_name_district
27,Umang Sachdev,,"197,360,3469,10091",0.88,fuzzy_name_district
28,Laban Saxena,,"205,6840",0.85,fuzzy_name_district
29,Tejas Rana,,"211,2790,3690,7930",0.94,fuzzy_name_district
30,Faris Biswas,,"234,538,2463,3668",0.9,fuzzy_name_district
31,Farhan Walla,,"250,13250",0.85,fuzzy_name_district
32,Chakradhar Ratta,,"255,1640",0.95,fuzzy_name_district
33,Gabriel Sura,,"258,2941,12111,12540,21174",0.89,fuzzy_name_district
34,Ishaan Apte,,"260,559,6593",0.95,fuzzy_name_district
35,Ronith Divan,,"264,685,1028,1182,1997,2111,16262",0.96,fuzzy_name_district
36,Pooja Bajwa,,"270,1399,6330,17609,20118",0.97,fuzzy_name_district
37,Jatin Sane,,"297,576,1143,4913,11858",0.98,fuzzy_name_district
38,Anthony Garde,,"308,15353",0.92,fuzzy_name_district
39,Warinder Desai,,"319,3320,3499,4608",0.83,fuzzy_name_district
40,Peter Dayal,,"323,2165",0.87,fuzzy_name_district
41,Noah Nigam,,"330,367",0.88,fuzzy_name_district
42,Robert Grover,,"335,3359,5412,16407",0.92,fuzzy_name_district
43,Nikita Murty,,"336,547",0.98,fuzzy_name_district
44,Vivaan Batra,,"346,776",0.92,fuzzy_name_district
45,Falguni Dugar,,"350,9765,21624",0.86,fuzzy_name_district
46,Nachiket Nigam,,"354,654,4930,16964",0.87,fuzzy_name_district
47,Lohit Balasubramanian,,"372,451,765,785,17774,20302",0.89,fuzzy_name_district
48,Sarthak Shah,,"377,633,8862,20022",0.97,fuzzy_name_district
49,Balvan Zacharia,,"383,1680,3719,7339",0.99,fuzzy_name_district
50,Ganga Tandon,,"390,412,493,573,754,828,1741",0.86,fuzzy_name_district
51,Jonathan Menon,,"401,490,3558",0.87,fuzzy_name_district
52,Falan Acharya,,"409,1156,10555",0.83,fuzzy_name_district
53,William Sarin,,411,0.97,fuzzy_name_district
