CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100040011202400001,202400001,2026-06-11,115,11,1,2,2,11,1,7,2026-06-09T08:40:24.172954,2026-06-11T14:40:24.172954,2026-06-11T14:40:24.172954,15.88393,74.455513,"Gautam Mane reported that a two-wheeler parked near Raju Nagar, Belagavi was found missing. No witnesses present at the time of the incident."
2,800260080202500001,202500001,2025-05-14,942,80,3,2,1,5,1,52,2025-05-12T19:40:24.173183,2025-05-14T14:40:24.173183,2025-05-14T14:40:24.173183,11.931553,76.876226,"Oscar Anand reported an incident of Assault that occurred near Krishnan Ganj, Chamarajanagara. Details recorded and investigation taken up."
3,100040009202500001,202500001,2025-11-10,100,9,1,2,3,15,2,7,2025-11-09T12:40:24.173291,2025-11-10T14:40:24.173291,2025-11-10T14:40:24.173291,15.793805,74.538773,"Tejas Shukla reported an incident of Molestation that occurred near Verma Road, Belagavi. Details recorded and investigation taken up."
4,100010002202500001,202500001,2025-12-09,25,2,1,1,2,9,1,2,2025-12-08T03:40:24.173416,2025-12-09T14:40:24.173416,2025-12-09T14:40:24.173416,13.010921,77.619267,"Advika Misra reported an incident of Dacoity that occurred near Doctor Ganj, Bengaluru Urban. Details recorded and investigation taken up."
5,100040010202500001,202500001,2025-08-05,106,10,1,2,6,29,1,8,2025-08-03T02:40:24.173575,2025-08-05T14:40:24.173575,2025-08-05T14:40:24.173575,15.859471,74.439021,"Ranveer Oza reported an incident of Public Nuisance that occurred near Warrior Ganj, Belagavi. Details recorded and investigation taken up."
6,100030005202500001,202500001,2025-01-12,58,5,1,2,5,25,1,5,2025-01-10T12:40:24.173770,2025-01-12T14:40:24.173770,2025-01-12T14:40:24.173770,12.302712,76.707709,"Aarna Goswami reported an incident of Trafficking that occurred near Chakraborty Path, Mysuru. Details recorded and investigation taken up."
7,400210062202500001,202500001,2025-07-24,723,62,4,2,5,24,3,42,2025-07-24T06:40:24.173895,2025-07-24T14:40:24.173895,2025-07-24T14:40:24.173895,14.84371,75.455212,"Ekavir Sodhi reported an incident of Possession that occurred near Tella Ganj, Haveri. Details recorded and investigation taken up."
8,100040011202600001,202600001,2026-02-24,114,11,1,2,2,12,5,8,2026-02-23T20:40:24.173981,2026-02-24T14:40:24.173981,2026-02-24T14:40:24.173981,15.918165,74.445199,"Laksh Iyer reported an incident of Criminal Breach of Trust that occurred near Rout Path, Belagavi. Details recorded and investigation taken up."
9,100010002202500002,202500002,2025-06-29,26,2,1,2,4,19,1,2,2025-06-29T02:40:24.174065,2025-06-29T14:40:24.174065,2025-06-29T14:40:24.174065,12.966546,77.533805,Peter Munshi reported an unauthorized transaction from their bank account after receiving a call from a person claiming to be a bank official.
10,100230068202600001,202600001,2026-02-26,788,68,1,2,3,16,1,45,2026-02-25T18:40:24.174205,2026-02-26T14:40:24.174205,2026-02-26T14:40:24.174205,15.361665,76.213918,"Netra Sanghvi reported repeated physical and mental harassment by family members at the residence in Rajagopal Chowk, Koppal."
11,100040010202400001,202400001,2024-09-03,105,10,1,2,2,11,4,8,2024-09-02T23:40:24.174285,2024-09-03T14:40:24.174285,2024-09-03T14:40:24.174285,15.785459,74.463739,"Rayaan Badami reported that a two-wheeler parked near Kothari Nagar, Belagavi was found missing. No witnesses present at the time of the incident."
12,100150039202500001,202500001,2025-05-16,444,39,1,2,1,6,2,29,2025-05-16T09:40:24.174395,2025-05-16T14:40:24.174395,2025-05-16T14:40:24.174395,13.373369,74.706337,"Zinal Viswanathan reported an incident of Culpable Homicide that occurred near Saraf Path, Udupi. Details recorded and investigation taken up."
13,100040009202500002,202500002,2026-03-08,100,9,1,2,2,11,1,8,2026-03-06T05:40:24.174501,2026-03-08T14:40:24.174501,2026-03-08T14:40:24.174501,15.809107,74.518361,"Karan Kakar reported that a two-wheeler parked near Thaman Nagar, Belagavi was found missing. No witnesses present at the time of the incident."
14,100070019202500001,202500001,2025-04-21,213,19,1,2,6,27,2,13,2025-04-19T00:40:24.174621,2025-04-21T14:40:24.174621,2025-04-21T14:40:24.174621,13.32254,77.141181,"Chanakya Chokshi reported an incident of Rioting that occurred near Bava Nagar, Tumakuru. Details recorded and investigation taken up."
15,100050014202500001,202500001,2025-01-08,154,14,1,2,5,24,6,9,2025-01-08T11:40:24.174775,2025-01-08T14:40:24.174775,2025-01-08T14:40:24.174775,15.17334,76.919799,"Henry Vaidya reported an incident of Possession that occurred near Dalal, Ballari. Details recorded and investigation taken up."
16,100030006202500001,202500001,2025-12-05,69,6,1,2,5,24,1,5,2025-12-04T16:40:24.174878,2025-12-05T14:40:24.174878,2025-12-05T14:40:24.174878,12.263208,76.676524,"Saksham Parmar reported an incident of Possession that occurred near Merchant Marg, Mysuru. Details recorded and investigation taken up."
17,100240072202400001,202400001,2024-10-08,843,72,1,2,3,14,1,47,2024-10-06T01:40:24.174991,2024-10-08T14:40:24.174991,2024-10-08T14:40:24.174991,16.195802,75.722442,Gautam Vaidya alleged continuous harassment for additional dowry by spouse and in-laws since marriage.
18,100240074202600001,202600001,2026-04-27,862,74,1,2,4,19,5,47,2026-04-26T15:40:24.175094,2026-04-27T14:40:24.175094,2026-04-27T14:40:24.175094,16.128187,75.670674,Pooja D’Alia reported an unauthorized transaction from their bank account after receiving a call from a person claiming to be a bank official.
