ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Gautam Mane,44,1,1,5,2
2,2,Oscar Anand,69,6,1,2,1
3,3,Tejas Shukla,23,8,1,7,1
4,4,Advika Misra,27,3,1,1,2
5,5,Ranveer Oza,24,8,1,6,2
6,6,Aarna Goswami,22,6,1,6,2
7,7,Ekavir Sodhi,41,9,7,1,2
8,8,Laksh Iyer,59,7,5,7,2
9,9,Peter Munshi,33,8,2,6,2
10,10,Netra Sanghvi,60,8,1,2,1
11,11,Rayaan Badami,21,3,1,4,1
12,12,Zinal Viswanathan,19,2,1,5,2
13,13,Karan Kakar,63,5,1,1,1
14,14,Chanakya Chokshi,25,9,6,3,1
15,15,Henry Vaidya,48,1,1,6,1
16,16,Saksham Parmar,62,6,2,4,1
17,17,Gautam Vaidya,49,3,1,1,1
18,18,Pooja D’Alia,42,6,1,6,1
19,19,Ishita Sarma,71,8,1,6,1
20,20,Nathaniel Chawla,73,2,1,6,1
21,21,Ayush De,25,8,3,7,2
22,22,Hiral Rajan,49,9,4,4,1
23,23,Ganga Mall,50,6,2,3,1
24,24,Sanya Mutti,63,7,1,3,1
25,25,Daksha Trivedi,30,3,4,3,2
26,26,Urvashi Patla,54,7,5,6,2
27,27,Hredhaan Kumar,28,2,1,5,1
28,28,Tanvi Halder,26,2,1,7,2
29,29,Oscar Dave,41,3,1,1,1
30,30,Yauvani Mistry,35,5,3,7,2
31,31,Yahvi Naidu,67,8,3,2,1
32,32,Aryan Raj,54,8,2,6,1
33,33,Harsh Kapur,38,7,2,3,2
34,34,Samaksh Savant,50,5,1,5,1
35,35,Peter Borde,65,5,4,4,1
36,36,Charan Mitra,34,8,5,2,2
37,37,Timothy Kala,42,1,6,4,2
38,38,Barkha Bakshi,46,8,5,2,1
39,39,Dominic Kade,64,4,1,4,2
40,40,Vedant Kuruvilla,25,6,1,2,1
41,41,Bimala Mitra,55,1,1,5,1
42,42,Azaan Som,43,5,1,7,2
