EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,1,1,1,7,KGID100001,Isaac,1968-05-16,1,5,False,2004-07-01
2,1,1,4,5,KGID100002,Udant,1972-04-07,1,7,False,1999-06-30
3,1,1,1,6,KGID100003,Gagan,1987-08-08,1,6,False,1997-06-11
4,1,1,4,1,KGID100004,Girik,1974-12-16,1,5,False,2011-03-06
5,1,1,6,7,KGID100005,Avi,1986-08-10,1,5,False,2017-04-15
6,1,1,5,2,KGID100006,Oni,1975-01-07,1,4,False,2013-08-11
7,1,1,4,6,KGID100007,Abeer,1993-04-28,1,3,False,2001-02-25
8,1,1,1,4,KGID100008,Pahal,1979-02-03,1,4,False,2001-01-11
9,1,1,5,7,KGID100009,Gayathri,1970-12-31,1,1,False,2007-07-17
10,1,1,2,1,KGID100010,Jagrati,1996-05-04,1,6,False,2014-01-11
11,1,1,2,6,KGID100011,Caleb,1992-05-02,1,5,False,2012-01-27
12,1,1,4,5,KGID100012,Kritika,1970-03-15,1,7,False,2005-01-09
13,1,1,2,2,KGID100013,Janaki,1987-02-26,2,3,False,2016-12-14
14,1,1,1,1,KGID100014,Chakradev,1990-01-03,2,3,False,2018-12-10
15,1,2,3,4,KGID100015,Fariq,1996-08-09,1,8,False,2021-08-25
16,1,2,9,7,KGID100016,Lajita,1976-12-22,2,2,False,2014-12-16
17,1,2,3,3,KGID100017,Janya,1973-01-20,2,6,False,2006-10-29
18,1,2,2,4,KGID100018,Amara,1991-05-21,1,5,False,2016-05-06
19,1,2,5,5,KGID100019,Ekbal,1988-03-26,2,5,False,2001-06-26
20,1,2,3,2,KGID100020,Yash,1973-01-29,1,3,False,2007-07-12
21,1,2,5,5,KGID100021,Theodore,1990-10-20,2,6,False,2020-12-18
22,1,2,1,3,KGID100022,Daksh,1975-04-24,2,5,False,1997-06-15
23,1,2,1,5,KGID100023,Diya,1981-03-01,2,2,False,1998-06-11
24,1,2,5,7,KGID100024,Divya,1974-10-02,1,3,False,2010-12-31
25,1,2,2,5,KGID100025,Tara,1972-05-19,1,7,False,2000-07-27
26,1,2,7,7,KGID100026,Adya,1992-12-03,1,4,False,2008-12-11
27,1,2,2,6,KGID100027,Mohini,1979-10-31,1,8,False,2025-06-11
28,1,2,2,2,KGID100028,Lakshit,1984-11-05,1,6,False,1999-02-27
29,2,3,3,1,KGID100029,Champak,1996-10-20,1,1,False,2000-12-14
30,2,3,7,7,KGID100030,Nathaniel,1994-06-15,1,4,False,2008-10-06
31,2,3,2,5,KGID100031,Devansh,1980-08-09,1,8,False,2013-10-20
32,2,3,2,4,KGID100032,Upadhriti,1985-07-07,1,2,False,2024-09-06
33,2,3,2,4,KGID100033,Advay,1990-08-27,1,1,False,1999-11-05
34,2,3,9,1,KGID100034,Amara,1993-08-28,1,6,False,2006-05-22
35,2,3,1,2,KGID100035,Chaaya,1982-04-22,1,8,False,2009-09-05
36,2,3,1,4,KGID100036,Adya,2000-07-26,1,2,False,2018-08-14
37,2,3,6,5,KGID100037,Yashica,1998-07-21,1,1,False,2021-10-07
