VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Nicholas Kala,37,F,False
2,2,Anvi Sampath,78,F,False
3,3,Harsh Amble,66,F,False
4,3,Barkha Misra,46,M,False
5,4,Dakshesh Raval,39,M,False
6,8,Luke Mutti,54,M,False
7,10,Baljiwan Walla,72,F,False
8,11,Hemangini Muni,65,M,False
9,12,Hema Suri,21,M,False
10,13,Jatin Peri,24,F,True
11,14,Omaja Sawhney,73,F,False
12,15,Ishaan Cherian,26,F,False
13,17,Vihaan Shan,47,F,False
14,17,Aishani Shetty,63,M,False
15,19,Kashish Oommen,79,M,False
16,19,Ishaan Rattan,24,F,False
17,21,Nisha Sastry,50,F,False
18,23,Kritika Rau,19,F,False
19,25,Harita Patla,76,F,False
20,26,Tristan Agate,38,M,False
21,28,Chakradhar Dasgupta,10,M,False
22,28,Tanvi Thaman,70,F,False
23,30,Sai Kadakia,70,M,False
24,31,Omisha Walla,74,F,False
25,32,Ryan Loke,55,M,False
26,35,Krishna Baria,25,M,False
27,37,Chaaya Kamdar,31,F,False
28,39,Samesh Yogi,36,M,False
29,40,Nidhi Sant,38,F,False
30,40,Anay Ramachandran,26,M,False
31,42,Laban Raman,54,F,False
32,43,Dalaja Kade,36,F,False
33,43,Siddharth Sachar,11,F,False
34,45,Ganga Parikh,31,F,False
35,49,Balhaar Lad,36,M,False
36,50,Nathaniel Gola,30,F,False
37,50,Veda Parmer,73,M,False
38,53,Zaitra Ravi,22,F,False
39,54,Jagat Karpe,53,M,False
40,55,Anthony Kohli,19,M,False
41,55,Joshua Dyal,75,M,False
42,56,Onkar Kanda,60,M,False
43,57,Yamini Saini,52,F,False
44,58,Raagini Vig,76,F,True
45,60,Diya Rege,59,F,False
46,61,Kamala Sule,30,F,False
47,67,Harinakshi Shanker,80,M,False
48,70,Abeer Basak,74,M,False
49,71,Chatura Vora,79,M,False
50,73,Janaki Lad,64,M,False
51,74,Kashish Patla,65,M,False
52,76,Oviya Tata,23,M,False
53,77,Jagvi Kurian,53,F,False
54,78,Bhavini Sheth,56,F,False
55,79,Anika Saxena,16,F,False
56,82,Bhanumati Savant,63,F,False
57,87,Amruta Sachar,38,M,False
58,90,Hema Salvi,28,M,True
59,92,Girindra Verma,69,F,False
60,93,Jalsa Ben,28,M,False
61,94,Kamya Chakraborty,60,M,False
62,95,Hredhaan Dass,33,M,False
63,98,Qasim Bahl,74,M,False
64,98,William Nagi,18,F,False
65,99,Hredhaan Sunder,66,F,False
66,100,Ojasvi Pillay,36,M,False
67,102,Ishita Shanker,66,M,False
68,103,Nitara Sani,66,F,False
69,103,Wridesh Kala,42,M,False
70,105,Yasti Dubey,38,F,False
71,106,Viraj Kunda,40,F,False
72,107,Daksh Natt,23,F,False
73,108,Maya Sehgal,16,F,False
74,109,Krishna Srivastava,21,F,False
75,110,Odika Sampath,33,M,False
76,111,Ridhi Basu,66,T,False
77,111,Ryan Prakash,5,M,False
78,112,Indrajit Mody,55,M,False
79,113,Aadhya Garde,64,F,False
80,114,Anirudh Master,21,F,False
81,114,Vihaan Rai,73,F,False
82,118,Gagan Raja,20,F,False
83,120,Max Guha,67,M,False
84,121,Kashvi Gour,41,M,True
85,122,Tristan Jain,59,M,False
86,123,Ikbal Seth,56,F,False
87,125,Shravya Bakshi,70,M,False
88,129,Nimrat Sathe,58,F,False
89,130,Ikshita Bansal,20,F,False
90,131,Girik Mistry,45,F,False
91,131,Jyoti Raghavan,11,M,False
92,132,Gagan Sule,41,F,False
93,133,Sarthak Sachdeva,38,F,False
94,134,Ayush Gill,70,F,False
95,135,Diya Wason,73,M,False
96,138,Ranveer Oak,61,F,False
97,141,Samuel Palla,73,M,False
98,144,Girik Sidhu,64,F,False
99,144,Tamanna Mukherjee,15,F,False
100,146,Onkar Mandal,40,M,False
101,147,Odika Khare,50,M,False
102,147,Nathan Subramaniam,72,M,False
103,149,Ikbal Raghavan,8,F,False
104,150,Manthan Sethi,10,M,False
105,151,Aadi Parmer,79,M,False
106,152,Omisha Dube,48,F,False
107,153,Laban Chad,55,M,True
108,154,Panini Amble,35,M,False
109,155,Jyoti Chowdhury,6,M,False
110,156,Sudiksha Vala,73,F,False
111,158,Yashasvi Bose,64,F,False
112,159,Vedhika Golla,7,F,False
113,159,Hemal Chad,67,T,False
114,160,Aishani D’Alia,64,F,False
115,161,Ladli Ramakrishnan,35,M,False
116,161,Adweta Dhillon,30,M,False
117,163,Abhiram Bir,61,F,False
118,164,Reyansh Bandi,33,M,False
119,165,Qasim Choudhry,36,M,False
120,166,Aradhana Bhatia,19,F,False
121,166,Lipika Natarajan,29,F,False
122,167,Aashi Chauhan,58,F,False
123,168,Aarush Varma,36,M,False
124,169,Gauri Mitter,7,F,False
125,173,Damyanti Chatterjee,57,M,False
126,174,Ekta Dara,28,F,False
127,175,Harish Puri,8,F,False
128,175,Amol Sur,34,F,False
129,178,Ucchal Joshi,58,M,False
130,178,Chatresh Hari,40,F,False
131,181,Vedhika Bhagat,36,F,False
132,183,Victor Chadha,20,M,False
133,183,Vrinda Kalita,56,F,False
134,187,Ubika Devi,14,F,False
135,188,Lekha Natarajan,57,F,False
136,188,Chaman Sandhu,57,M,False
137,191,Aradhana Bhagat,49,T,False
138,194,Vincent Venkatesh,7,F,False
139,196,Qabil Gill,36,M,False
140,197,Bakhshi Nadig,80,F,False
141,198,Tara Nagarajan,6,F,False
142,200,Christopher Hayer,59,F,False
143,200,Arunima Hayre,72,M,False
144,201,Jalsa Rao,15,F,False
145,202,Tanveer Sawhney,23,M,False
146,203,Gautami Bhatti,50,M,False
147,204,Ryan Grewal,54,F,False
148,204,Bimala Swaminathan,7,F,False
149,205,Adweta Mital,62,M,False
150,206,Kashvi Vala,59,F,False
151,207,Chanakya Mann,66,M,False
152,208,Maanas Arya,64,F,False
153,208,Zarna Manda,26,F,False
154,209,Omisha Sharma,24,F,False
155,209,Jackson Deep,29,F,False
156,210,Orinder Modi,54,M,False
157,210,Jagat Kapadia,80,F,False
158,211,Isaac Brahmbhatt,48,M,False
159,211,Veda Sankar,9,M,False
160,212,Indali Balakrishnan,60,M,False
161,213,Onveer Yogi,66,F,False
162,216,Priya Gulati,14,M,False
163,217,Om Bhattacharyya,31,F,False
164,218,Ishani Soni,7,F,False
165,218,Vedhika Vaidya,61,F,False
166,219,Krish Balan,37,M,False
167,220,Zinal Tailor,13,F,False
168,222,Lopa Sura,52,M,False
169,223,Ayaan Bath,23,M,False
170,224,Ishanvi Sabharwal,48,F,False
171,226,Chandani Patla,55,F,False
172,227,George Chandran,45,F,False
173,227,Anjali Bhavsar,60,M,False
174,228,Pranit Bahl,18,F,False
175,229,Manbir Khosla,9,F,False
176,229,Charita Saran,79,M,False
177,231,Balhaar Jaggi,7,F,False
178,231,Anjali Deshpande,16,T,False
179,233,Zayan Taneja,14,F,False
180,234,Nilima Kumar,56,F,False
181,235,Vaishnavi Pillai,37,F,False
182,237,Reva Nadig,33,M,False
183,237,Bahadurjit Mahal,40,F,False
184,238,Ayaan Ben,17,M,False
185,238,Sachi Deshpande,36,M,False
186,241,Manthan Chakraborty,53,F,False
187,243,Nilima Dhingra,45,M,False
188,245,Gaurangi Keer,27,F,False
189,246,Praneel Lad,42,F,False
190,247,Jalsa Sani,16,M,False
191,248,Abha Gade,65,F,False
192,249,Samar Mander,40,M,False
193,250,Faraj Koshy,16,F,False
194,251,Forum Bassi,77,F,False
195,255,Banjeet Varghese,14,F,False
196,255,Ubika Kapur,63,M,False
197,257,Zehaan Pant,42,F,False
198,258,Chakradev Chacko,71,F,False
199,259,Abdul Rana,33,F,False
200,261,Shaurya Srivastava,27,M,False
201,261,Wyatt Sarin,62,M,False
202,262,Ojas Dua,63,F,False
203,265,Idika Sen,24,F,False
204,265,Ansh Edwin,18,M,False
205,268,Ojasvi Tak,42,F,False
206,268,Wahab Kadakia,5,M,False
207,269,Ishaan Karan,28,F,False
208,270,Harsh Barman,46,F,False
209,275,Radha Bhat,80,M,False
210,276,Sanaya Jha,80,M,False
211,277,Tanay Chander,64,M,False
212,277,Harini Dutta,76,M,False
213,282,Tanish Sehgal,38,M,False
214,283,Ria Suri,71,F,False
215,284,Jai Pingle,10,F,False
216,285,Luke Dhar,18,M,False
217,285,Chanakya Mody,50,F,False
218,286,Yamini Sharma,43,F,False
219,287,Harinakshi Zachariah,57,F,False
220,287,Saanvi Mall,33,F,False
221,288,Samesh Korpal,11,M,False
222,289,Lavanya Kurian,48,F,False
223,289,Ishwar Chaudhary,55,F,False
224,290,Chanchal Ramakrishnan,61,F,False
225,290,Ekaja Dhar,39,M,False
226,291,Dominic Sule,24,F,False
227,292,Kashvi Zachariah,74,F,False
228,292,Yatan Yogi,34,M,False
229,294,Shivansh Thaman,23,M,False
230,296,Faras Yohannan,71,F,False
231,299,Onkar Hari,76,F,False
232,300,Sudiksha Agate,77,M,False
233,301,Osha Walia,32,F,False
234,302,Ronith Gala,15,M,False
235,303,Urvashi Khare,27,T,False
236,305,Lakshmi Ratti,77,F,False
237,305,Nirja Kaul,7,M,False
238,307,Isha Sama,47,F,False
239,308,Jyoti Anand,47,F,False
240,309,Gautami Mistry,32,F,False
241,311,Vasana Narula,43,M,False
242,312,Bina Sarraf,43,F,False
243,313,Rohan Bains,23,F,False
244,313,Adweta Chaudhuri,15,F,False
245,314,Rehaan Walia,13,M,False
246,321,Edhitha Mahajan,32,M,False
247,322,Vedant Chaudhari,37,F,False
248,325,Triya Oak,58,F,False
249,326,Isha Nori,49,M,False
250,327,Raghav Soman,11,F,False
251,331,Samaksh Thakkar,22,M,False
252,332,Falguni Swaminathan,26,M,False
253,333,Parth Sagar,11,M,False
254,334,Bishakha Bhavsar,70,M,False
255,334,Wakeeta Sabharwal,75,M,False
256,335,Zayyan Johal,28,M,False
257,336,Eta Shetty,31,M,False
258,337,Chaitaly Dash,53,M,False
259,337,Om Brahmbhatt,70,M,False
260,341,Sarthak Rana,36,F,False
261,343,Girish Nair,73,M,False
262,344,Viraj Bail,76,M,False
263,346,Oeshi Mani,80,F,False
264,347,Vyanjana Boase,9,M,False
265,347,Charles Dhaliwal,21,M,False
266,348,Bhavika Sen,25,M,False
267,349,Nachiket Subramaniam,61,F,False
268,350,Vasana Bora,44,M,False
269,352,Leena Suri,26,F,False
270,354,Neel Arora,45,M,False
271,355,Prisha Krishnan,12,F,False
272,355,Xiti Walia,64,M,False
273,356,Gunbir Boase,36,M,False
274,356,Omaja Mani,10,F,False
275,357,Simon Grewal,23,F,False
276,357,Daniel Goswami,22,F,False
277,358,Krishna Dash,49,M,False
278,358,Devansh Oommen,47,F,False
279,359,Siddharth Vig,6,F,False
280,360,Kamala Oza,13,M,False
281,360,Wriddhish Patel,68,F,False
282,361,Jyoti Seth,53,F,False
283,362,Lekha Memon,23,M,False
284,362,Luke Venkatesh,37,M,False
285,363,Hitesh Saran,76,M,False
286,364,Gautam Natarajan,44,F,False
287,365,Isaac Chakraborty,45,M,False
288,370,Nathaniel Bains,16,M,False
289,370,Geetika Sami,27,M,False
290,372,Manbir Puri,16,M,False
291,373,Jagat Khosla,56,M,False
292,375,Yashodhara Kar,17,F,False
293,379,Indira Yohannan,38,M,False
294,379,Hardik Basu,10,F,False
295,380,Tanmayi Chacko,76,F,False
296,381,Oni Dube,80,F,False
297,385,Aditya Varghese,58,F,False
298,392,Ubika Sura,55,M,False
299,393,Inaya Grewal,64,M,False
300,394,Jatin Sura,19,M,False
301,396,Banjeet Deol,34,F,False
302,398,Pushti Anand,15,F,False
303,400,Nandini Barad,46,M,False
304,402,Omya Koshy,56,M,False
305,403,Daksha Choudhury,47,T,False
306,405,Saumya Dalal,53,F,False
307,405,Ekansh Subramanian,24,F,False
308,408,Yochana Shah,33,F,False
309,409,Anamika Behl,73,M,False
310,411,Patrick Kunda,31,F,False
311,412,Sanaya Kata,21,M,False
312,412,Jyoti Divan,64,M,False
313,413,Pranit Manda,25,F,False
314,414,Pooja Korpal,13,M,False
315,415,Amrita Dhar,32,F,False
316,416,Nihal Mohanty,39,T,False
317,418,Ira Mangat,64,F,False
318,419,Priya Wali,32,F,False
319,419,Pratyush Sandal,77,T,False
320,420,Manan Nagarajan,46,F,False
321,421,Eiravati Talwar,11,M,False
322,425,Nakul Balan,5,F,False
323,427,Suhani Kuruvilla,79,M,False
324,427,Utkarsh Sampath,13,F,False
325,428,Chatura Prabhu,7,F,False
326,428,Robert Madan,24,M,False
327,431,Divya Raman,31,F,False
328,431,Kai Chatterjee,79,M,False
329,432,Baljiwan Mannan,16,F,False
330,434,Alexander Dhar,70,F,False
331,434,Gagan Tara,14,M,False
332,435,Logan Dasgupta,69,F,False
333,435,Balveer Patla,50,F,False
334,437,Ikbal Chada,57,M,False
335,437,Hritik Ranganathan,22,T,False
336,438,Suhani Barad,22,F,False
337,438,Upma Dhingra,11,M,False
338,439,Ekapad Mahal,66,M,False
339,440,Hema Mishra,73,M,False
340,440,Rushil Palla,6,F,False
341,442,Tarak Pall,38,F,False
342,443,Odika Roy,43,M,False
343,444,Bhanumati Chaudhary,39,M,False
344,445,Lakshmi Contractor,78,M,False
345,446,Udarsh Tripathi,78,M,False
346,447,Alexander Bal,36,F,False
347,447,Kavya Venkataraman,79,M,False
